"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
80,"80C","ARME",18,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605848,4023819,2019-05-17
81,"81S","ARME",25,1,"C","S","HP","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605797,4023862,2019-05-17
81,"81C","ARME",25,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605797,4023862,2019-05-17
82,"82S","ARME",26,1,"C","S","HP","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605800,4023875,2019-05-17
82,"82C","ARME",26,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605800,4023875,2019-05-17
83,"83S","ARME",29,1,"C","S","HP","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605822,4023874,2019-05-17
83,"83C","ARME",29,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605822,4023874,2019-05-17
84,"84S","ARME",30,1,"C","S","HP","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605822,4023874,2019-05-17
84,"84C","ARME",30,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605822,4023874,2019-05-17
85,"85S","CEOL",1,1,"T","S","SF","LMR",2019-08-07,"1","2","1","NA",0,1.23,0,1,NA,NA,605839,4023839,2019-05-17
